,LeadTime,ArrivalDateMonth,StaysInWeekendNights,StaysInWeekNights,Adults,Children,Babies,Meal,Country,MarketSegment,DistributionChannel,IsRepeatedGuest,PreviousCancellations,PreviousBookingsNotCanceled,ReservedRoomType,BookingChanges,DepositType,Agent,Company,CustomerType,ADR,RequiredCarParkingSpaces,TotalOfSpecialRequests,ReservationStatus,ChangedRoom,StayChanges,ReservationMonth
39972,1.0,January,0,2,2.0,0.0,0.0,SC,Other_Americas,Online TA,TA/TO,1,2+,0,A,0,No Deposit,Agent_A,no_Company,Transient-Party,76.5,1,0,Check-Out,0,No Changes,January
72691,225.0,May,0,3,2.0,0.0,0.0,BB,Germany,Online TA,TA/TO,0,0,0,A,0,No Deposit,Agent_D,no_Company,Transient,91.51,0,1,Check-Out,0,No Changes,October
42191,97.0,March,2,5,1.0,0.0,0.0,HB,National,Groups,TA/TO,0,1,0,A,0,Non Refund,Agent_B,no_Company,Transient,79.43,0,0,Canceled,0,No Changes,December
18541,37.0,October,0,3,1.0,0.0,0.0,BB,National,Offline TA/TO,TA/TO,0,0,0,A,0,No Deposit,other_Agent,no_Company,Transient-Party,95.0,0,0,Canceled,0,No Changes,September
29468,225.0,June,0,3,3.0,0.0,0.0,BB,France,Online TA,TA/TO,0,0,0,D,0,No Deposit,Agent_A,no_Company,Transient,174.6,0,1,Canceled,0,No Changes,October
12407,213.0,June,0,3,2.0,0.0,0.0,BB,National,Offline TA/TO,TA/TO,0,0,0,A,0,Non Refund,other_Agent,no_Company,Transient,130.0,0,0,Canceled,0,No Changes,November
57633,8.0,September,2,0,2.0,1.0,0.0,BB,Germany,Online TA,TA/TO,0,0,0,A,0,No Deposit,Agent_A,no_Company,Transient,196.0,0,2+,Check-Out,0,No Changes,September
13744,358.0,June,0,2,2.0,0.0,0.0,BB,National,Groups,TA/TO,0,0,0,A,0,Non Refund,Agent_B,no_Company,Transient,62.0,0,0,Canceled,0,No Changes,July
34261,262.0,July,1,1,2.0,0.0,0.0,BB,National,Groups,TA/TO,0,1,0,A,0,No Deposit,Agent_B,no_Company,Contract,62.0,0,0,Canceled,0,No Changes,October
70551,101.0,April,1,0,2.0,0.0,0.0,SC,Other_Asia,Online TA,TA/TO,0,0,1-2,A,0,No Deposit,Agent_A,no_Company,Transient,89.1,0,1,Check-Out,0,No Changes,January
23699,32.0,February,1,1,1.0,0.0,0.0,BB,National,Groups,TA/TO,0,0,0,A,0,Non Refund,no_Agent,no_Company,Transient,75.0,0,0,Canceled,0,No Changes,January
11590,41.0,May,0,1,1.0,0.0,0.0,BB,National,Corporate,Corporate,0,0,0,A,2+,No Deposit,no_Agent,other_Company,Transient,89.0,0,0,Canceled,0,No Changes,April
70188,44.0,April,1,3,1.0,0.0,0.0,BB,Germany,Offline TA/TO,TA/TO,0,0,0,A,2+,No Deposit,Agent_E,no_Company,Transient-Party,75.0,0,0,Check-Out,0,No Changes,March
2591,5.0,September,0,2,1.0,0.0,0.0,BB,Germany,Online TA,TA/TO,0,0,0,A,0,No Deposit,Agent_A,no_Company,Contract,114.0,0,2+,Check-Out,0,No Changes,September
73400,352.0,June,2,2,2.0,0.0,0.0,BB,Germany,Offline TA/TO,TA/TO,0,0,0,A,0,No Deposit,other_Agent,no_Company,Transient-Party,83.75,0,1,Check-Out,0,No Changes,June
61442,33.0,November,0,2,1.0,0.0,0.0,SC,Other_Americas,Online TA,TA/TO,0,0,0,A,0,No Deposit,other_Agent,no_Company,Transient,104.0,0,1,Check-Out,0,No Changes,October
37877,17.0,September,2,2,2.0,0.0,0.0,BB,Other_Europe,Groups,TA/TO,0,0,0,A,1,No Deposit,Agent_B,no_Company,Transient-Party,170.0,0,0,Check-Out,0,No Changes,September
32851,128.0,August,0,4,2.0,1.0,0.0,BB,Other_Americas,Online TA,TA/TO,0,0,0,Other,1,No Deposit,Agent_A,no_Company,Transient,235.0,0,1,Canceled,0,No Changes,April
12227,118.0,June,0,3,2.0,0.0,0.0,SC,Other_Europe,Online TA,TA/TO,0,0,0,A,0,No Deposit,Agent_A,no_Company,Transient,116.1,0,0,Canceled,0,No Changes,February
64874,7.0,January,0,1,1.0,0.0,0.0,BB,Spain,Online TA,TA/TO,0,0,0,A,0,No Deposit,other_Agent,no_Company,Transient,78.4,0,0,Check-Out,0,No Changes,January
68035,7.0,March,2,1,1.0,0.0,0.0,SC,Other_Asia,Online TA,TA/TO,0,0,0,A,1,No Deposit,Agent_A,no_Company,Transient,83.3,0,2+,Check-Out,0,No Changes,March
50398,220.0,June,2,1,2.0,0.0,0.0,BB,Other_Americas,Groups,TA/TO,0,0,0,A,0,No Deposit,Agent_B,no_Company,Transient-Party,73.33,0,1,Check-Out,0,No Changes,October
17714,179.0,September,2,2,2.0,0.0,0.0,BB,United_Kingdom,Online TA,TA/TO,0,0,0,D,0,No Deposit,Agent_A,no_Company,Transient,126.9,0,0,Canceled,0,No Changes,April
43157,0.0,January,1,0,2.0,0.0,0.0,BB,National,Online TA,TA/TO,0,0,0,D,0,No Deposit,Agent_A,no_Company,Transient,116.0,1,0,Check-Out,0,No Changes,January
71945,31.0,May,2,3,1.0,0.0,0.0,BB,Germany,Groups,Corporate,0,0,0,A,0,No Deposit,other_Agent,no_Company,Transient-Party,130.0,0,0,Check-Out,0,No Changes,April
36437,414.0,December,2,1,2.0,0.0,0.0,BB,National,Groups,TA/TO,0,1,0,A,0,Non Refund,Agent_B,no_Company,Transient,62.0,0,0,Canceled,0,No Changes,October
52234,132.0,July,1,2,2.0,0.0,0.0,BB,National,Offline TA/TO,TA/TO,0,0,0,A,0,No Deposit,other_Agent,no_Company,Transient,72.25,0,0,Check-Out,0,No Changes,February
35846,274.0,July,2,2,2.0,0.0,0.0,BB,National,Groups,TA/TO,0,1,0,A,0,No Deposit,Agent_B,no_Company,Transient-Party,62.0,0,0,Canceled,0,No Changes,October
12242,177.0,June,0,2,2.0,0.0,0.0,BB,National,Offline TA/TO,TA/TO,0,0,0,A,0,No Deposit,other_Agent,no_Company,Transient-Party,100.0,0,0,Canceled,0,No Changes,December
48183,0.0,May,2,0,2.0,1.0,0.0,BB,Other_Americas,Online TA,TA/TO,0,0,0,A,0,No Deposit,Agent_D,no_Company,Transient,132.44,0,0,Check-Out,0,No Changes,May
9111,274.0,April,0,2,2.0,0.0,0.0,BB,National,Groups,TA/TO,0,0,0,A,0,Non Refund,Agent_B,no_Company,Transient,62.0,0,0,Canceled,0,No Changes,July
15513,148.0,August,2,5,2.0,0.0,0.0,BB,Other_Europe,Online TA,TA/TO,0,0,0,D,0,No Deposit,Agent_A,no_Company,Transient,119.69,0,0,Canceled,0,No Changes,March
53167,8.0,July,2,0,2.0,0.0,0.0,BB,Spain,Online TA,TA/TO,0,0,0,A,0,No Deposit,Agent_A,no_Company,Transient,160.0,0,1,Check-Out,0,No Changes,July
70564,203.0,April,0,1,2.0,1.0,0.0,BB,National,Online TA,TA/TO,0,0,0,D,1,No Deposit,Agent_D,no_Company,Transient,119.16,0,1,Check-Out,0,No Changes,October
33991,307.0,August,0,2,2.0,0.0,0.0,BB,National,Groups,TA/TO,0,1,0,A,0,Non Refund,Agent_B,no_Company,Contract,62.0,0,0,Canceled,0,No Changes,October
28772,101.0,May,2,1,2.0,0.0,0.0,BB,Other_Americas,Online TA,TA/TO,0,0,0,A,0,No Deposit,Agent_A,no_Company,Transient,135.0,0,0,Canceled,0,No Changes,February
56581,173.0,September,1,3,2.0,0.0,0.0,SC,United_Kingdom,Online TA,TA/TO,0,0,0,A,0,No Deposit,Agent_D,no_Company,Transient,84.43,0,1,Check-Out,0,No Changes,March
64332,52.0,January,0,2,2.0,1.0,1.0,BB,National,Direct,Direct,0,0,0,Other,1,No Deposit,Agent_C,no_Company,Transient,124.2,0,2+,Check-Out,0,No Changes,November
9239,101.0,April,2,5,2.0,0.0,0.0,BB,Other_Europe,Online TA,TA/TO,0,0,0,A,0,No Deposit,other_Agent,no_Company,Transient,70.99,0,2+,Check-Out,0,No Changes,December
73229,42.0,June,1,1,2.0,1.0,0.0,BB,France,Online TA,TA/TO,0,0,0,Other,1,No Deposit,Agent_A,no_Company,Transient,250.0,0,0,Check-Out,0,No Changes,April
26606,152.0,April,2,2,2.0,0.0,0.0,BB,National,Offline TA/TO,TA/TO,0,0,0,A,0,Non Refund,other_Agent,no_Company,Transient,105.0,0,0,Canceled,0,No Changes,November
31459,133.0,July,0,2,2.0,0.0,0.0,HB,Other_Europe,Online TA,TA/TO,0,0,0,A,0,No Deposit,Agent_A,no_Company,Transient,141.3,0,1,Canceled,0,No Changes,February
40553,12.0,November,1,2,1.0,0.0,0.0,BB,National,Online TA,TA/TO,0,1,0,A,0,No Deposit,Agent_A,no_Company,Contract,101.0,0,1,Canceled,0,No Changes,November
78698,211.0,August,0,2,2.0,1.0,0.0,BB,Other_Europe,Online TA,TA/TO,0,0,0,A,0,No Deposit,Agent_A,no_Company,Transient-Party,135.0,0,2+,Check-Out,0,No Changes,January
47022,138.0,April,0,1,2.0,0.0,0.0,HB,National,Groups,TA/TO,0,0,0,A,0,No Deposit,Agent_B,no_Company,Transient-Party,90.0,0,1,Check-Out,1,No Changes,November
76800,218.0,July,2,3,3.0,0.0,0.0,BB,Other_Europe,Online TA,TA/TO,0,0,0,D,0,No Deposit,Agent_A,no_Company,Transient-Party,175.32,0,2+,Check-Out,0,No Changes,December
17420,418.0,September,1,2,2.0,0.0,0.0,BB,National,Offline TA/TO,TA/TO,0,0,0,A,0,No Deposit,other_Agent,no_Company,Transient-Party,75.0,0,0,Canceled,0,No Changes,August
51501,9.0,June,1,2,2.0,0.0,0.0,HB,Other_Asia,Online TA,TA/TO,0,0,0,A,0,No Deposit,Agent_A,no_Company,Transient,179.0,0,2+,Check-Out,1,No Changes,June
73278,434.0,June,2,1,2.0,0.0,0.0,BB,United_Kingdom,Groups,TA/TO,0,0,0,A,0,No Deposit,other_Agent,no_Company,Transient-Party,112.67,0,1,Check-Out,0,No Changes,March
25740,62.0,April,2,3,2.0,0.0,0.0,SC,Spain,Online TA,TA/TO,0,0,0,A,0,No Deposit,Agent_A,no_Company,Transient,99.0,0,0,Canceled,0,No Changes,February
6793,18.0,January,0,2,3.0,0.0,0.0,SC,Other_Americas,Online TA,TA/TO,0,0,0,A,2+,No Deposit,Agent_A,no_Company,Transient-Party,75.0,1,1,Check-Out,1,No Changes,January
51654,265.0,June,0,2,2.0,0.0,0.0,HB,National,Offline TA/TO,TA/TO,0,0,0,A,0,No Deposit,Agent_E,no_Company,Transient-Party,115.0,0,1,Check-Out,1,No Changes,October
75147,125.0,June,1,2,2.0,0.0,0.0,BB,Other_Europe,Online TA,TA/TO,0,0,0,D,0,No Deposit,Agent_A,no_Company,Transient,119.4,0,0,Check-Out,0,No Changes,February
25025,72.0,March,0,1,2.0,0.0,0.0,SC,Other_Europe,Online TA,TA/TO,0,0,0,A,2+,No Deposit,Agent_A,no_Company,Transient,79.2,0,0,Canceled,1,No Changes,January
16289,420.0,September,2,2,2.0,0.0,0.0,BB,National,Groups,TA/TO,0,0,0,A,0,Non Refund,other_Agent,no_Company,Transient,75.0,0,0,Canceled,0,No Changes,July
25299,212.0,April,2,1,2.0,0.0,0.0,BB,National,Groups,TA/TO,0,0,0,A,0,No Deposit,other_Agent,no_Company,Transient-Party,98.0,0,0,Canceled,0,No Changes,September
52101,121.0,June,0,2,2.0,0.0,0.0,BB,Other_Europe,Online TA,TA/TO,0,0,0,Other,0,No Deposit,Agent_A,no_Company,Transient-Party,88.77,0,1,Check-Out,0,No Changes,March
17718,179.0,September,2,2,2.0,0.0,0.0,BB,France,Online TA,TA/TO,0,0,0,A,0,No Deposit,Agent_A,no_Company,Transient,113.4,0,0,Canceled,0,No Changes,April
36967,0.0,August,2,6+,1.0,0.0,0.0,BB,National,Complementary,Direct,0,0,0,A,2+,No Deposit,no_Agent,other_Company,Transient,0.0,0,0,Check-Out,0,No Changes,August
6330,1.0,December,0,1,2.0,0.0,0.0,BB,National,Online TA,TA/TO,0,0,0,A,0,No Deposit,Agent_A,no_Company,Transient,135.0,0,1,Check-Out,0,No Changes,December
23247,32.0,February,1,4,2.0,1.0,0.0,BB,France,Online TA,TA/TO,0,0,0,A,0,No Deposit,Agent_A,no_Company,Transient,100.3,0,1,Canceled,0,No Changes,January
72862,172.0,May,2,1,2.0,0.0,0.0,BB,France,Direct,Direct,0,0,0,A,0,No Deposit,Agent_C,no_Company,Transient,108.0,0,0,Check-Out,0,No Changes,December
61358,92.0,November,0,1,2.0,0.0,0.0,BB,Other_Asia,Offline TA/TO,TA/TO,0,0,0,A,0,No Deposit,other_Agent,no_Company,Transient-Party,90.0,0,0,Check-Out,0,No Changes,August
11866,316.0,May,0,3,2.0,0.0,0.0,BB,Other_Europe,Groups,TA/TO,0,0,0,A,0,No Deposit,other_Agent,no_Company,Transient-Party,110.0,0,0,Check-Out,1,No Changes,July
78932,62.0,August,1,0,1.0,0.0,0.0,BB,Other_Americas,Direct,Direct,0,0,0,A,0,No Deposit,no_Agent,no_Company,Transient,95.0,0,0,Check-Out,0,No Changes,June
62855,3.0,December,1,3,1.0,0.0,0.0,SC,Other_Americas,Online TA,TA/TO,0,0,0,A,0,No Deposit,other_Agent,no_Company,Transient,71.8,0,0,Check-Out,0,No Changes,December
26788,96.0,April,0,2,2.0,0.0,0.0,BB,National,Groups,TA/TO,0,0,0,A,0,Non Refund,other_Agent,no_Company,Transient,130.0,0,0,Canceled,0,No Changes,January
65878,18.0,February,0,4,2.0,0.0,0.0,BB,Other_Americas,Online TA,TA/TO,0,0,0,D,0,No Deposit,Agent_A,no_Company,Transient,100.3,0,0,Check-Out,0,No Changes,January
57428,23.0,September,0,1,1.0,0.0,0.0,SC,Spain,Online TA,TA/TO,0,0,0,A,2+,No Deposit,Agent_A,no_Company,Transient,139.0,0,1,Check-Out,1,No Changes,August
38728,7.0,October,0,3,1.0,0.0,0.0,BB,National,Online TA,TA/TO,0,1,0,A,0,No Deposit,Agent_A,no_Company,Contract,120.0,0,1,Canceled,0,No Changes,October
57511,78.0,September,0,5,2.0,0.0,0.0,BB,United_Kingdom,Direct,Direct,0,0,0,D,0,No Deposit,Agent_C,no_Company,Transient,145.8,0,0,Check-Out,0,No Changes,June
23623,15.0,February,0,2,2.0,0.0,0.0,BB,National,Offline TA/TO,TA/TO,0,0,0,A,0,Non Refund,other_Agent,no_Company,Transient,95.0,0,0,Canceled,0,No Changes,February
19203,248.0,October,3+,5,2.0,0.0,0.0,SC,Other_Oceania,Online TA,TA/TO,0,0,0,A,0,No Deposit,Agent_A,no_Company,Transient,80.75,0,0,Canceled,0,No Changes,February
65181,19.0,February,0,2,1.0,0.0,0.0,BB,Other_Europe,Online TA,TA/TO,0,0,0,A,0,No Deposit,Agent_A,no_Company,Transient,98.0,0,1,Check-Out,0,No Changes,January
63229,0.0,December,0,1,2.0,1.0,0.0,BB,National,Direct,Direct,0,0,0,A,0,No Deposit,no_Agent,no_Company,Transient,106.0,0,0,Check-Out,1,No Changes,December
20039,95.0,November,0,1,1.0,0.0,0.0,BB,National,Groups,TA/TO,0,0,0,A,0,No Deposit,no_Agent,no_Company,Transient-Party,75.0,0,0,Canceled,0,No Changes,August
29383,55.0,May,0,2,2.0,0.0,0.0,BB,National,Offline TA/TO,TA/TO,0,0,0,A,0,Non Refund,no_Agent,no_Company,Transient,135.0,0,0,Canceled,0,No Changes,April
24765,74.0,March,0,2,2.0,0.0,0.0,BB,France,Online TA,TA/TO,0,0,0,D,0,No Deposit,Agent_A,no_Company,Transient,106.2,0,1,Canceled,0,No Changes,January
77102,183.0,July,1,0,2.0,0.0,0.0,BB,Germany,Online TA,TA/TO,0,0,0,A,0,No Deposit,Agent_A,no_Company,Transient,130.5,0,0,Check-Out,0,No Changes,January
50638,20.0,June,0,2,2.0,0.0,0.0,BB,France,Online TA,TA/TO,0,0,0,D,0,No Deposit,Agent_A,no_Company,Transient,115.6,0,2+,Check-Out,0,No Changes,May
45036,12.0,March,1,1,1.0,0.0,0.0,BB,Other_Europe,Online TA,TA/TO,0,0,0,A,0,No Deposit,Agent_A,no_Company,Transient,86.0,0,1,Check-Out,0,No Changes,February
54575,137.0,August,1,3,3.0,0.0,0.0,BB,Other_Europe,Online TA,TA/TO,0,0,0,D,2+,No Deposit,Agent_A,no_Company,Transient,136.34,0,1,Check-Out,0,No Changes,March
75702,200.0,July,2,5,2.0,0.0,0.0,BB,Germany,Direct,Direct,0,0,0,A,0,No Deposit,Agent_C,no_Company,Transient,89.1,0,2+,Check-Out,0,No Changes,December
47016,14.0,April,0,1,2.0,0.0,0.0,HB,National,Groups,TA/TO,0,0,0,A,0,No Deposit,Agent_B,no_Company,Transient-Party,90.0,0,1,Check-Out,0,No Changes,March
7826,62.0,March,1,4,2.0,0.0,0.0,SC,Other_Europe,Online TA,TA/TO,0,0,0,A,0,No Deposit,Agent_A,no_Company,Transient,72.75,0,0,Canceled,0,No Changes,January
23597,15.0,February,0,2,2.0,0.0,0.0,BB,National,Offline TA/TO,TA/TO,0,0,0,A,0,Non Refund,other_Agent,no_Company,Transient,95.0,0,0,Canceled,0,No Changes,February
29649,173.0,June,2,2,2.0,0.0,0.0,BB,National,Groups,TA/TO,0,0,0,A,0,Non Refund,other_Agent,no_Company,Transient,120.0,0,0,Canceled,0,No Changes,December
27897,316.0,May,0,2,2.0,0.0,0.0,BB,National,Online TA,TA/TO,0,0,0,D,0,No Deposit,Agent_A,no_Company,Transient,123.3,0,1,Canceled,0,No Changes,June
70356,132.0,April,2,2,2.0,0.0,0.0,BB,Other_Europe,Online TA,TA/TO,0,0,0,A,0,No Deposit,Agent_A,no_Company,Transient,117.0,0,2+,Check-Out,0,No Changes,December
8380,95.0,March,0,3,1.0,0.0,0.0,SC,Germany,Online TA,TA/TO,0,0,0,A,0,No Deposit,other_Agent,no_Company,Transient,75.1,0,0,Check-Out,0,No Changes,December
13992,164.0,July,2,4,2.0,0.0,0.0,BB,Other_Europe,Online TA,TA/TO,0,0,0,A,0,No Deposit,Agent_A,no_Company,Transient,99.45,0,0,Canceled,0,No Changes,January
25152,106.0,March,0,5,2.0,0.0,0.0,SC,Other_Americas,Online TA,TA/TO,0,0,0,A,0,No Deposit,Agent_A,no_Company,Transient,79.64,0,2+,Canceled,0,No Changes,December
1605,4.0,August,0,2,2.0,0.0,0.0,BB,National,Online TA,TA/TO,0,0,0,A,0,No Deposit,Agent_A,no_Company,Contract,106.0,0,1,Check-Out,0,No Changes,August
8239,42.0,March,2,2,2.0,0.0,0.0,BB,Spain,Online TA,TA/TO,0,0,0,A,0,No Deposit,Agent_A,no_Company,Transient,97.63,0,0,Canceled,0,No Changes,February
53708,153.0,July,2,2,2.0,0.0,0.0,BB,France,Online TA,TA/TO,0,0,0,A,0,No Deposit,Agent_A,no_Company,Transient,108.45,0,1,Check-Out,0,No Changes,February
78362,156.0,August,0,1,2.0,0.0,0.0,BB,France,Online TA,TA/TO,0,0,0,A,0,No Deposit,Agent_A,no_Company,Transient-Party,130.5,0,2+,Check-Out,0,No Changes,March
29058,267.0,May,1,3,2.0,0.0,0.0,BB,France,Online TA,TA/TO,0,0,0,D,0,No Deposit,Agent_A,no_Company,Transient,138.6,0,0,Canceled,0,No Changes,August
29585,434.0,June,2,1,2.0,0.0,0.0,BB,National,Groups,TA/TO,0,0,0,A,0,No Deposit,other_Agent,no_Company,Transient-Party,90.0,0,0,Canceled,0,No Changes,March
70513,0.0,April,0,2,2.0,0.0,0.0,BB,National,Complementary,Direct,0,0,0,D,0,No Deposit,no_Agent,no_Company,Transient,0.0,1,2+,Check-Out,0,No Changes,April
15315,181.0,August,2,3,2.0,0.0,0.0,BB,National,Online TA,TA/TO,0,0,0,A,0,No Deposit,other_Agent,no_Company,Transient,99.45,0,1,Canceled,0,No Changes,February
46325,94.0,March,1,4,2.0,0.0,0.0,BB,Germany,Offline TA/TO,TA/TO,0,0,0,A,0,No Deposit,other_Agent,no_Company,Transient,80.75,0,1,Check-Out,0,No Changes,December
67214,3.0,March,0,1,2.0,0.0,0.0,BB,National,Direct,Direct,0,0,0,A,0,No Deposit,no_Agent,no_Company,Transient,98.0,0,2+,Check-Out,0,No Changes,March
57044,12.0,September,1,0,1.0,0.0,0.0,BB,Other_Asia,Offline TA/TO,TA/TO,0,0,0,A,0,No Deposit,other_Agent,no_Company,Transient-Party,85.0,0,1,Check-Out,0,No Changes,August
8957,89.0,April,1,3,2.0,0.0,0.0,BB,France,Online TA,TA/TO,0,0,0,A,0,No Deposit,Agent_A,no_Company,Transient,82.45,0,0,Check-Out,0,No Changes,January
75082,158.0,June,0,3,2.0,0.0,0.0,BB,Other_Americas,Online TA,TA/TO,0,0,0,D,0,No Deposit,Agent_A,no_Company,Transient,122.7,0,2+,Check-Out,0,No Changes,January
75659,165.0,July,1,2,2.0,0.0,0.0,BB,United_Kingdom,Online TA,TA/TO,0,0,0,D,0,No Deposit,Agent_A,no_Company,Transient-Party,152.1,0,1,Check-Out,0,No Changes,January
7667,37.0,March,0,4,2.0,0.0,0.0,BB,Germany,Online TA,TA/TO,0,0,0,D,0,No Deposit,Agent_A,no_Company,Transient,95.4,0,1,Canceled,0,No Changes,January
40767,1.0,November,0,1,1.0,0.0,0.0,BB,National,Direct,Direct,0,0,0,D,0,No Deposit,Agent_C,no_Company,Transient,115.0,0,2+,Check-Out,0,No Changes,November
50991,14.0,June,1,0,2.0,0.0,0.0,SC,Other_Europe,Online TA,TA/TO,0,0,1-2,A,0,No Deposit,Agent_A,no_Company,Transient,129.0,0,1,Check-Out,0,No Changes,June
2243,0.0,September,0,1,2.0,1.0,0.0,BB,National,Direct,Direct,0,0,0,D,1,No Deposit,no_Agent,no_Company,Transient,158.0,0,0,Check-Out,0,No Changes,September
37020,219.0,September,0,1,2.0,0.0,0.0,HB,Germany,Offline TA/TO,TA/TO,0,0,0,A,0,No Deposit,Agent_E,no_Company,Transient-Party,108.0,0,0,Check-Out,1,No Changes,January
1840,55.0,August,0,2,3.0,0.0,0.0,BB,Spain,Groups,TA/TO,0,0,0,A,1,No Deposit,Agent_B,no_Company,Transient-Party,84.0,0,1,Check-Out,1,No Changes,July
30647,153.0,June,0,4,1.0,0.0,0.0,BB,National,Corporate,TA/TO,0,0,0,A,0,Non Refund,no_Agent,other_Company,Transient,110.0,0,0,Canceled,0,No Changes,January
38411,15.0,October,0,3,2.0,0.0,0.0,BB,France,Online TA,TA/TO,0,0,0,D,0,No Deposit,Agent_D,no_Company,Transient,104.72,0,1,Check-Out,0,No Changes,September
62651,16.0,December,1,2,2.0,0.0,0.0,SC,Other_Europe,Online TA,TA/TO,0,0,0,A,2+,No Deposit,Agent_A,no_Company,Transient,85.78,0,2+,Check-Out,0,No Changes,November
25078,278.0,March,2,1,2.0,0.0,0.0,BB,National,Offline TA/TO,TA/TO,0,0,0,A,0,Non Refund,Agent_E,no_Company,Transient,90.0,0,0,Canceled,0,No Changes,June
78713,63.0,August,0,2,2.0,0.0,0.0,BB,Other_Americas,Online TA,TA/TO,0,0,0,A,1,No Deposit,other_Agent,no_Company,Transient,139.0,0,1,Check-Out,0,No Changes,June
51594,19.0,June,0,2,2.0,0.0,0.0,BB,National,Corporate,Corporate,0,0,0,A,1,No Deposit,other_Agent,no_Company,Transient-Party,100.0,0,0,Check-Out,0,No Changes,June
72652,122.0,May,1,1,1.0,0.0,0.0,BB,National,Groups,TA/TO,0,0,0,A,1,No Deposit,other_Agent,no_Company,Transient-Party,104.0,0,0,Check-Out,0,No Changes,January
21031,47.0,December,0,1,2.0,0.0,0.0,BB,Spain,Online TA,TA/TO,0,0,0,A,0,No Deposit,other_Agent,no_Company,Transient,93.6,0,1,No-Show,1,No Changes,October
73126,144.0,June,0,3,2.0,0.0,0.0,BB,Other_Europe,Direct,Direct,0,0,0,A,0,No Deposit,Agent_C,no_Company,Transient-Party,120.0,0,2+,Check-Out,0,No Changes,January
